"PERIOD"|"CITY_ID"|"COLLECTION_ID"|"TITLE"|"DESCRIPTION"|"URL"|"SHARE_URL"|"RESTAURANT_COUNT"|"INSERT_DT"
"201803"|"4"|"801"|"Dsokk_Zf 5 ZXVZdT`_MYOJV"|"The best flavors from continental Europe."|"https://www.zomato.com/bangalore/continental-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/108"|"33"|"2018-03-20 11:08:58"
"201803"|"4"|"25"|"UgcmW_ SSYURR]["|"Refreshingly delicious frozen desserts"|"https://www.zomato.com/bangalore/frozen-delights?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/52"|"40"|"2018-03-20 11:08:58"
"201803"|"4"|"443"|"Whee SSYUaO[a"|"Get your grub right at your doorstep"|"https://www.zomato.com/bangalore/delivery-only-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/344"|"17"|"2018-03-20 11:08:58"
"201803"|"4"|"6"|"I]o_ f`]]h dVccOb^LX]["|"Banish those midnight cravings with our handy list of late night & 24-hour restaurants serving all your favourite comfort foods"|"https://www.zomato.com/bangalore/late-night-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/6"|"23"|"2018-03-20 11:08:58"
"201803"|"4"|"043"|"Ki\c\j Ze[V^SZf MK[["|"The best and most affordable booze your city has to offer"|"https://www.zomato.com/bangalore/cheap-bars?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/340"|"13"|"2018-03-20 11:08:58"
"201805"|"4"|"92"|"ZWh\h U\PXNL"|"The best new places in town"|"https://www.zomato.com/bangalore/best-new-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/29"|"25"|"2018-05-01 17:28:43"
"201805"|"4"|"99"|"Ieq_ Kgeghf DSaSRZTXP["|"Catch the best sporting action live!"|"https://www.zomato.com/bangalore/sports-screenings?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/99"|"8"|"2018-05-01 17:28:43"
"201805"|"4"|"45704"|"VhjgegUgW VPd\^T^N["|"Here are some of the best restaurants in your city that are offering up even better corporate deals"|"https://www.zomato.com/bangalore/corporate-favorites?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/74045"|"34"|"2018-05-01 17:28:43"
"201805"|"4"|"2"|"IjbWSj J`bZNRN["|"Just about the perfect way to end the week"|"https://www.zomato.com/bangalore/sunday-brunch?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/2"|"9"|"2018-05-01 17:28:43"
"201805"|"4"|"733276"|"YSXYROY XS\\"|"After cloud, sun shines!"|"https://www.zomato.com/bangalore/arabian-nights?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/267733"|"20"|"2018-05-01 17:28:43"
"201805"|"4"|"933"|"SR`_g TZ_[["|"Great deals on booze. Happy hours indeed"|"https://www.zomato.com/bangalore/happy-hours?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/339"|"11"|"2018-05-01 17:28:43"
"201805"|"4"|"744277"|"Ommqg[k WeaX dVccOb^LX]["|"Explore the most popular Zomato Gold partner restaurants"|"https://www.zomato.com/bangalore/popular-gold-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/277744"|"20"|"2018-05-01 17:28:43"
"201803"|"4"|"5"|"Z^W^Sdc Pb^RO[["|"Hamburgers, grilled burgers, veggie burgers or just a classic cheeseburger, these burger places near you are acing the B-game"|"https://www.zomato.com/bangalore/best-burger?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/5"|"31"|"2018-03-20 11:08:58"
"201803"|"4"|"7"|"D\]ZbWSci ]b`WO]["|"They say old is gold and here's the proof"|"https://www.zomato.com/bangalore/legendary-places?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/7"|"45"|"2018-03-20 11:08:58"
"201805"|"4"|"1"|"Mj\dY]aY dWW` bONS"|"The most popular restaurants in town this week"|"https://www.zomato.com/bangalore/top-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/1"|"30"|"2018-05-01 17:28:43"
"201805"|"4"|"825247"|"Zk]Xj ZbaU5 \\ M_UT"|"The hunt for the highest-rated restaurants in your city ends here"|"https://www.zomato.com/bangalore/great-food-no-bull?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/274852"|"56"|"2018-05-01 17:28:43"
"201805"|"4"|"297296"|"Opbidof WeaX DVccOb^LX]["|"Pamper yourself at premium and top-rated restaurants from the Zomato Gold stable!"|"https://www.zomato.com/bangalore/zomato-gold-premium-select?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/269279"|"21"|"2018-05-01 17:28:43"
"201805"|"4"|"862247"|"Cim jjjZY Si IV^L 22"|"Live life with a little spice"|"https://www.zomato.com/bangalore/spiciest-restaurants-in-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/274826"|"13"|"2018-05-01 17:28:43"
"201805"|"4"|"68"|"OXWc X\ M LJZ"|"The best bars to relax and enjoy a cold one."|"https://www.zomato.com/bangalore/best-beer-bars?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/86"|"31"|"2018-05-01 17:28:43"
"201805"|"4"|"3"|"Z]ZMY^RK"|"The perfect spots for a romantic meal"|"https://www.zomato.com/bangalore/romantic-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/3"|"27"|"2018-05-01 17:28:43"
"201805"|"4"|"772"|"TeWRd PbRQO]["|"Eat to your heart's content"|"https://www.zomato.com/bangalore/best-buffet?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/277"|"50"|"2018-05-01 17:28:43"
"201805"|"4"|"31"|"Z]\R_YY["|"Dine like you're on top of the world"|"https://www.zomato.com/bangalore/rooftop-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/13"|"33"|"2018-05-01 17:28:43"
"201805"|"4"|"91"|"LZ[Z[V U`VQYNUa"|"Restaurants serving the best vegetarian fare"|"https://www.zomato.com/bangalore/vegetarian-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/19"|"42"|"2018-05-01 17:28:43"
"201805"|"4"|"02"|"WhZUg SbTOXRL]]["|"Sweet or savoury, treat yo'self to all the classic & quirky dishes at these breakfast & brunch places near you"|"https://www.zomato.com/bangalore/great-breakfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/20"|"24"|"2018-05-01 17:28:43"
"201805"|"4"|"57"|"R[hh TRbb , [_K["|"The top places to enjoy a drink"|"https://www.zomato.com/bangalore/best-bars-and-pubs?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/75"|"44"|"2018-05-01 17:28:43"
"201805"|"4"|"9"|"B]Vd`RaSdQ]SN["|"For the times when bottled brews just do not cut it"|"https://www.zomato.com/bangalore/microbreweries?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/9"|"26"|"2018-05-01 17:28:43"
"201712"|"4"|"5"|"Z^W^Sdc Pb^RO[["|"Hamburgers, grilled burgers, veggie burgers or just a classic cheeseburger, these burger places near you are acing the B-game"|"https://www.zomato.com/bangalore/best-burger?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/5"|"31"|"2017-12-20 19:37:37"
"201712"|"4"|"7"|"D\]ZbWSci ]b`WO]["|"They say old is gold and here's the proof"|"https://www.zomato.com/bangalore/legendary-places?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/7"|"43"|"2017-12-20 19:37:37"
"201712"|"4"|"437287"|"DZk KVQa KbPX]["|"The best places to have the best New Year's Eve party!"|"https://www.zomato.com/bangalore/nye-2017?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/278473"|"31"|"2017-12-20 19:37:37"
"201712"|"4"|"427287"|"U`i_hh`Sd B^ROTKU["|"Celebrate this festive season with some great Christmas specials"|"https://www.zomato.com/bangalore/christmas-2017?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/278472"|"17"|"2017-12-20 19:37:37"
"201802"|"4"|"1"|"Mj\dY]aY dWW` bONS"|"The most popular restaurants in town this week"|"https://www.zomato.com/bangalore/top-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/1"|"30"|"2018-02-27 10:06:29"
"201802"|"4"|"825247"|"Zk]Xj SbaU5 U\ F_UT"|"The hunt for the highest-rated restaurants in your city ends here"|"https://www.zomato.com/bangalore/great-food-no-bull?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/274852"|"51"|"2018-02-27 10:06:29"
"201802"|"4"|"92"|"ZWh\h U\PXNL"|"The best new places in town"|"https://www.zomato.com/bangalore/best-new-restaurants?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/29"|"29"|"2018-02-27 10:06:29"
"201802"|"4"|"45704"|"VhjgegUgW VPd\^T^N["|"Here are some of the best restaurants in your city that are offering up even better corporate deals"|"https://www.zomato.com/bangalore/corporate-favorites?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/74045"|"14"|"2018-02-27 10:06:29"
"201802"|"4"|"2"|"IjbWSj Q`bZNRN["|"Just about the perfect way to end the week"|"https://www.zomato.com/bangalore/sunday-brunch?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/2"|"7"|"2018-02-27 10:06:29"
"201802"|"4"|"733276"|"YSXYROY XS\\"|"After cloud, sun shines!"|"https://www.zomato.com/bangalore/arabian-nights?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"|"http://www.zoma.to/c-4/267733"|"19"|"2018-02-27 10:06:29"
